record_type,source_file,source_sr_no,state,constituency,mp_name,ida,work_id,work_category,work_type,work_description,recommended_date,sanction_date,completion_date,expenditure_date,consent_date,recommended_amount,sanction_amount,amount_disbursed,fund_disbursed_amount,consent_amount,allocated_amount,work_status,payment_status,vendor_name,calamity_type,calamity_name,image_marker
Works Sanctioned,Works Sanctioned.xlsx,44659,Telangana,KARIMNAGAR,Sanjay Kumar Bandi,KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA),WS/MP770/2025-2026/219506,Normal/Others,Installing tube-wells and borewells,Drilling of Bore well and Pump set near H.No. 2-22byB  in Gundlapalli (V) of Saidapur (M),2025-07-17,2025-09-01,,,,,200000.0,,,,,Work Completed,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,48289,Jharkhand,LOHARDAGA(ST),SUKHDEO BHAGAT,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),WS/MP18075/2024-2025/177116,,Construction of public toilets and bathrooms,,,,,2025-10-15,,,,,372500.0,,,,Payment Success,RAJEEV RANJAN JUNIOR ENGINEER,,,
Works Recommended,Works Recommended (1).xlsx,39604,Uttar Pradesh,KUSHI NAGAR,Vijay Kumar Dubey,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),WS/MP812/2025-2026/206131,Trust and Society,Construction of rooms and halls in school and colleges,GP SONVAL BLOCK BISHUNPURA ME AASTHA UCHHATAR MADHYAMIK VIDYALAY SONVAL ME BHAWAN KA NIRMAN KARRY,2025-06-06,2025-10-15,,,,400000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,101342,Gujarat,KHEDA,Devusinh Jesingbhai Chauhan,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),,Normal/Others,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Construction of Crematorium and anushangik works,2026-08-19,,,,,490000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,39263,Jharkhand,SINGHBHUM(ST),JOBA MAJHI,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),WS/MP18262/2025-2026/205398,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of PCC road 500 Feet in paralposi to kendriya vidaylaya .,2025-05-31,2025-08-25,,,,815600.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,98158,Tamil Nadu,THOOTHUKKUDI,Kanimozhi Karunanidhi,Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA),,Normal/Others,Construction of buildings for community cultural activities,Construction of Art Theatre at Puliyampatti Village in Akkanaickenpatti Panchayat in Ottapidaram Panchayat Union,2026-08-04,,,,,1000000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,2044,Maharashtra,NASHIK,RAJABHAU,NASHIK(DISTRICT COLLECTOR NASHIK_IDA),WS/MP18127/2026-2027/253706,,Construction of community centers and community halls,,,,,2026-09-01,,,,,989000.0,,,,Payment In-Progress,TRAMBAKRAJ KRUPA MAJUR BANDHAKAM SAH SANSTHA MARYA PIMPALAJ,,,
Works Sanctioned,Works Sanctioned.xlsx,51421,Tamil Nadu,VIRUDHUNAGAR,Manickam Tagore B,VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA),WS/MP747/2025-2026/231794,Normal/Others,Purchase of furniture and fixtures for educational purposes,Providing Steel Desk and Bench (34set) at STRN Government Higher Secondary school in Aruppukottai Municipality,2025-10-24,2025-12-12,,,,,300000.0,,,,,Work Completed,,,,,
Works Recommended,Works Recommended (1).xlsx,13069,Jammu And Kashmir,UDHAMPUR,Jitendra Singh,UDHAMPUR(Deputy Commissioner Udhampur_IDA),WS/MP600/2024-2025/158999,Normal/Others,Construction of culverts and bridges,"Construction of pulli (Culvert) near the house of Balvinder  Singh, Parvesh Singh and others, Ward no. 6, Village  Preyan , Pyt. Sattani, Jaganoo, Udhampur",2024-12-18,2025-02-24,,,,166000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,20304,Odisha,SUNDARGARH (ST),Shri Jual Oram,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),WS/MP370/2025-2026/174606,Normal/Others,Construction of community centers and community halls,"Completion of Kirtan Mandap at Panch Maula, GP Hamirpur",2025-02-09,2025-08-12,,,,,400000.0,,,,,Work Completed,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,20204,Andhra Pradesh,MACHILIPATNAM,Balashowry Vallabbhaneni,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),WS/MP405/2024-2025/149701,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2025-12-16,,,,,348135.0,,,,Payment Success,SRINIVASA RAO YARLAGADDA,,,
Works Completed,Works Completed.xlsx,8385,Tamil Nadu,TIRUVANNAMALAI,CN Annadurai,Tirupathur(District Collector Tirupathur_IDA),WS/MP508/2025-2026/189212,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Providing Interlocking Paver Block From KT Road to Ram Lakshmi Nagar at Gajalnaickenpatti HO Gajalnaickenpatti,,,2025-06-12,,,,,399928.0,,,,,,,,,Images
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,63901,Odisha,PURI,SAMBIT PATRA,Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA),WS/MP18149/2025-2026/183953,,Construction of community centers and community halls,,,,,2026-08-14,,,,,3703.0,,,,Payment Success,BDO NAYAGARH,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,79816,Tamil Nadu,RAMANATHAPURAM,Kani K Navas,PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA),WS/MP746/2025-2026/177726,,Lighting of public spaces,,,,,2025-11-07,,,,,497060.0,,,,Payment Success,FPLUS ENTERPRISES,,,
Works Sanctioned,Works Sanctioned.xlsx,19753,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Mahesh Sharma,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),WS/MP777/2024-2025/173171,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Gram Dharpa chuharpur block khurja me Bhanu Pratap Singh ki Chakki se Jai Shiv Baba ke Gate ko or Interlocking karya Length 131 Mtr,2025-02-05,2025-02-05,,,,,792197.0,,,,,Physical Inspection,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,64420,Gujarat,SURENDRANAGAR,CHANDUBHAI CHHAGANBHAI SHIHORA,Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA),WS/MP18326/2025-2026/174963,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-02-11,,,,,499663.0,,,,Payment Success,UGHROJ GRAM PANCHAYAT,,,
Works Sanctioned,Works Sanctioned.xlsx,39330,Madhya Pradesh,KHANDWA,Gyaneshwar Patil,DEWAS(DISTRICT COLLECTOR DEWAS_IDA),WS/MP643/2025-2026/208804,Normal/Others,Construction of water tanks,water tanker -5000Litre,2025-06-17,2025-10-31,,,,,190930.0,,,,,Physical Inspection,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,10269,Maharashtra,YAVATMAL-WASHIM,Sanjay Uttamrao Deshmukh,YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),WS/MP18369/2026-2027/177563,,Lighting of public spaces,,,,,2026-06-27,,,,,393708.0,,,,Payment Success,MS KUNAL ELECTRICALS CONTRACTOR YAVATMAL,,,
Works Sanctioned,Works Sanctioned.xlsx,46372,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),WS/MP18225/2025-2026/222476,Normal/Others,Installing hand pumps,Rekha Late Kishor Bharsawan,2025-07-26,2025-11-22,,,,,73911.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,35731,Bihar,ARRAH,SUDAMA PRASAD,BHOJPUR(DISTRICT PLANNING OFFICER BHOJPUR ARRAH_IDA),WS/MP18030/2025-2026/199660,Normal/Others,Street lights,agiaon market,2025-05-16,2025-10-07,,,,500000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,72013,Kerala,PATHANAMTHITTA,Anto Antony,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),,Normal/Others,Construction of bus-sheds or bus-stops,Construction of Bus Waiting Shed at Theater Junction in Pallickathodu Grama Panchayat,2026-01-21,,,,,500000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,20380,Tamil Nadu,CHIDAMBARAM(SC),Thirumaa Valavan Thol,PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA),WS/MP756/2025-2026/171145,,Construction of community centers and community halls,,,,,2025-12-06,,,,,1174038.0,,,,Payment Success,MANIMARAN PERALI,,,
Works Sanctioned,Works Sanctioned.xlsx,39829,Telangana,KARIMNAGAR,Sanjay Kumar Bandi,HANUMAKONDA(DISTRICT COLLECTOR HANUMAKONDA_IDA),WS/MP770/2025-2026/209831,Normal/Others,Installing tube-wells and borewells,Drilling of Bore well and pump set near H.No. 4-42by5by1 in Gatla Narsinagapur (V)of  Bheemadevarapalli ( M),2025-06-17,2025-08-29,,,,,200000.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,1583,West Bengal,HOOGHLY,RACHNA BANERJEE,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),WS/MP18353/2024-2025/138639,Normal/Others,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Seating Arregment at the premises of Dhanikhali State General Hospital,2024-09-03,2024-12-05,,,,3093826.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,90962,Uttar Pradesh,BULANDSHAHR(SC),Bhola Singh,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),WS/MP814/2026-2027/290989,Normal/Others,Lighting of public spaces,kanthi mata waale chaurahe par highmask light PCCD dwara lgwae,2026-07-01,2026-08-01,,,,281100.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,4070,Uttar Pradesh,MACHHLISHAHR(SC),PRIYA SAROJ,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),WS/MP18228/2024-2025/154891,Normal/Others,Street lights,SANTOSH VISHWAKARMA S\O LALMAN VISHWAKARMA K GHAR 01 NAG SOLAR LIGHT,,,2025-05-22,,,,,20956.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,18872,West Bengal,MEDINIPUR,JUNE MALIAH,Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA),WS/MP18254/2025-2026/169712,Normal/Others,Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons,Distribution of Hearing Aids to specially Abled Persons,2025-01-28,2025-09-25,,,,300000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,16394,Kerala,ALATHUR(SC),K RADHAKRISHNAN,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),WS/MP18337/2025-2026/164447,Normal/Others,Street lights,SETTING UP OF 8 mtr MINIMAST LIGHT 150 W 5 Nos at Kadankurissi Junction,2025-01-08,2025-08-07,,,,220000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,14905,Meghalaya,SHILLONG,ANDREW J. SYNGKON,RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA),WS/MP18137/2025-2026/162017,Normal/Others,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",Financial aid to Iatylli Lang V.O Pahambir Lum for construction of office building,2025-01-05,2025-05-02,,,,300000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,74616,Uttar Pradesh,FARRUKHABAD,Mukesh Rajput,ETAH(DISTRICT MAGISTRATE ETAH_IDA),WS/MP797/2025-2026/210587,,Lighting of public spaces,,,,,2025-12-16,,,,,50790.0,,,,Payment Success,Super Agro,,,
Works Sanctioned,Works Sanctioned.xlsx,29241,Madhya Pradesh,DEWAS(SC),Mahendra Singh Solanky,DEWAS(DISTRICT COLLECTOR DEWAS_IDA),WS/MP653/2025-2026/189548,Normal/Others,Construction of community centers and community halls,ward krmank 14 indra nagar me kabir ashram ke paas samudayik bhavan nirman hetu ..,2025-04-07,2025-07-22,,,,,500000.0,,,,,Vendor Identification,,,,,
Works Recommended,Works Recommended (1).xlsx,46881,Tripura,TRIPURA EAST(ST),KRITI DEVI DEBBARMAN,Khowai(DISTRICT MAGISTRATE and COLLECTOR  KHOWAI_IDA),WS/MP18196/2025-2026/219214,Normal/Others,Setting up of kitchen and pantries,"table of kitchen, private school,",2025-07-17,2026-02-13,,,,500000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,55949,Odisha,BHADRAK(SC),AVIMANYU SETHI,Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA),WS/MP18310/2025-2026/240412,Normal/Others,Street lights,"Installation of 3 nos of New 90 watt LED street light with sensor board and wire 30 mtr fitting in existing pole at Naharpada Chhaka, Madhusudanpur.",2025-12-02,2026-03-07,,,,,33000.0,,,,,Sanction,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,37069,West Bengal,DARJEELING,Raju Bista,KALIMPONG(District Magistrate Kalimpong_IDA),WS/MP826/2025-2026/220935,,Construction of community centers and community halls,,,,,2026-07-08,,,,,893652.0,,,,Payment Success,OM TRADING,,,
Works Recommended,Works Recommended (1).xlsx,9689,Chhattisgarh,KORBA,Jyotsna Charandas Mahant,Gaurela-Pendra-Marwahi(Collector GPM_IDA),WS/MP429/2024-2025/153087,Normal/Others,Construction of community centers and community halls,"Construction of Samudayik Bhawan in Gram Panchayat - Matiyadand, Bandhatola. Vikas Khand - Marwahi",2024-11-18,2024-12-04,,,,600000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,24272,Kerala,KOZHIKODE,Shri M K Raghavan,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),,Normal/Others,"Purchase of IT systems, including hardware and software for educational purposes","10 Laptop Computers for CM Higher Secondary School, Mannur North, Mannur PO, Kozhikode, 673 328",2025-03-11,,,,,494000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,52154,Gujarat,ANAND,Mitesh Rameshbhai Bakabhai Patel,ANAND(District Collector ANAND_IDA),WS/MP579/2025-2026/233159,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Bhadkad game Baliyadev Mandir Pase na Vistar ma Patra Shed Banavanu kam,2025-09-13,2025-10-08,,,,,100000.0,,,,,Physical Inspection,,,,,
Works Sanctioned,Works Sanctioned.xlsx,32303,Himachal Pradesh,MANDI,Kangana Ranaut,MANDI(DEPUTY COMMISSIONER MANDI_IDA),WS/MP18328/2025-2026/196722,Normal/Others,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,"C/O Samshanghat at Village Sarua-1 in G.P. Halyatar, Work Executive Agency-BDO Balh",2025-05-05,2025-07-02,,,,,100000.0,,,,,Vendor Identification,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,32903,Rajasthan,JALORE,LUMBARAM,JALORE(DISTRICT COLLECTOR JALORE_IDA),WS/MP18166/2025-2026/192192,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2025-10-02,,,,,3990.0,,,,Payment Success,ratan,,,
Works Sanctioned,Works Sanctioned.xlsx,5244,Jharkhand,RANCHI,Sanjay Seth,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),WS/MP435/2024-2025/145843,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Constructiion of PCC Road (300 ft.) at Benti, form Madhupur School via Goga Munda's house under Bisa Panchayat, Angara Blok.",2024-10-08,2024-12-31,,,,,557100.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,15026,Uttar Pradesh,SANT KABIR NAGAR,LAXMIKANT PAPPU NISHAD,Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2),WS/MP18240/2025-2026/162228,Normal/Others,Construction of rooms and halls in school and colleges,"construction and renovation work related , in favour of School Manager of Lt. Ram Belas Yadav Purva Madhamik Balika Vidhyalay, bhagwanpur, baghauli, santkabir nagar",2024-12-29,2025-04-29,,,,1000000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,26877,Jharkhand,LOHARDAGA(ST),SUKHDEO BHAGAT,LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA),WS/MP18075/2025-2026/185559,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of 300 feet of PCC road from Laxman Oraon's house till Durga Oraon's house.,2025-03-22,2025-05-22,,,,,387800.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,84641,Jharkhand,DUMKA(ST),NALIN SOREN,DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA),WS/MP18322/2026-2027/280853,Normal/Others,Renovation of ponds and lakes,"Construction of Bathing Ghat in Village- Samlaur, Samlapur Joriya",2026-05-19,2026-06-29,,,,300000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,98152,Andhra Pradesh,CHITTOOR,DAGGUMALLA PRASADA RAO,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),WS/MP18006/2026-2027/301208,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of CC road from Guravamma house to Hari Reddy house at Pillarikuppam ST Colony of Pillarikuppam GP in SR Puram Mandal,2026-08-09,2026-09-03,,,,500000.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,17544,Uttar Pradesh,JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),WS/MP18222/2025-2026/170716,Normal/Others,Street lights,rajendra yadav,,,2026-07-31,,,,,19989.0,,,,,,,,,Images
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,17530,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE,SAKTI(COLLECTOR SAKTI_IDA),WS/MP18278/2026-2027/282148,,Installing tube-wells and borewells,,,,,2026-07-20,,,,,187500.0,,,,Payment Success,Abhishek Enterprises,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,33382,Tamil Nadu,CUDDALORE,M.K. VISHNUPRASAD,CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA),WS/MP18265/2025-2026/155930,,Construction of community centers and community halls,,,,,2025-09-30,,,,,354301.0,,,,Payment Success,ANANDHI RAJASEKARAN,,,
Works Recommended,Works Recommended (1).xlsx,89588,Madhya Pradesh,GWALIOR,BHARAT SINGH KUSHWAH,SHIVPURI(District Collector Shivpuri_IDA),WS/MP18103/2026-2027/288891,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Gram Panchayt Sonhar , Janpad Panchayat Narwar ke Majra Dharampura me Primary School se Main Road ki or CC Nirman karya",2026-06-24,2026-07-13,,,,500000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,97847,Haryana,ROHTAK,DEEPENDER SINGH HOODA,JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR),,Normal/Others,Construction of rooms and halls in school and colleges,Const. of Rooms in Govt. School,2026-08-03,,,,,500000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,54327,Madhya Pradesh,TIKAMGARH(SC),Virendra Kumar,CHHATARPUR(District Collector Chhatarpur_IDA),WS/MP638/2025-2026/236625,Normal/Others,Construction of buildings for community cultural activities,Saansad Utsav Dham Ke Shesh Karya Hetu,2025-09-22,2026-03-06,,,,,150000.0,,,,,Vendor Identification,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,35603,Gujarat,SURENDRANAGAR,CHANDUBHAI CHHAGANBHAI SHIHORA,SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA),WS/MP18326/2025-2026/160192,,Providing drains and gutters for public drainage,,,,,2025-07-03,,,,,293547.0,,,,Payment Success,MOTATIMBLA GHAGHOSAR GRAM PANCHAYAT,,,
Works Completed,Works Completed.xlsx,14706,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),WS/MP18278/2025-2026/220425,Normal/Others,Street lights,SOLAR HIGHMAST LIGHT PRATISTHAPANA KARYA ( TURI (HEERAGAD) ME BAJAR CHAUK KE PASS ),,,2025-10-22,,,,,499668.0,,,,,,,,,Images
Works Sanctioned,Works Sanctioned.xlsx,46968,Jharkhand,DHANBAD,DULU MAHATO,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),WS/MP18072/2025-2026/223516,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of PCC road from Rajatand Tola Sunil Singh house in Mahoda village to Lakhan Singh house,2025-07-31,2025-11-24,,,,,350000.0,,,,,Vendor Identification,,,,,
Works Recommended,Works Recommended (1).xlsx,93662,Madhya Pradesh,GWALIOR,BHARAT SINGH KUSHWAH,SHIVPURI(District Collector Shivpuri_IDA),,Normal/Others,Construction of community centers and community halls,"Ward no 4. pate baba evam kali mata mandir Sheopur Road Nagar Parishad Pohari, Vidhansabha pohari zila shivpuri ke samudaik bhawan ka nirman karya",2026-07-13,,,,,1000000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,71772,Madhya Pradesh,KHAJURAHO,Vishnu Dutt Sharma,PANNA(DISTRICT COLLECTOR PANNA_IDA),,Repair and Renovation,Improvement of electricity distribution infrastructure,GRAM CHAMRAIYA BAJRANG DHAM KE SAMEEP TEHSIL RAIPURA ME VIDYUT VYAVSTHA,2026-01-20,,,,,240000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,10724,Andhra Pradesh,RAJAMPET,Midhun Reddy,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),WS/MP524/2025-2026/215309,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-03-18,,,,,399768.0,,,,Payment Success,T Sai Sumanth Reddy,,,
Works Recommended,Works Recommended (1).xlsx,35676,Gujarat,MAHESANA,HARIBHAI PATEL,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),WS/MP18054/2025-2026/199571,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",CONSTRUCTION OF RCC ROAD WORK FROM PRIMARY SCHOOL GATE TO PRAJAPATI VAS AT VENPURA VILLAGE,2025-05-16,2025-08-11,,,,200000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,87230,Bihar,NAWADA,VIVEK THAKUR,NAWADA(District Planning Officer NAWADA_IDA),,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Gram Panchayat Amawan ke Madhya Vidyalay se Haat Bazar hote hue High School tak PCC Road Nirman Karya,2026-06-17,,,,,1096400.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,55005,Gujarat,SURENDRANAGAR,CHANDUBHAI CHHAGANBHAI SHIHORA,MORBI(District collector Morbi_IDA),WS/MP18326/2025-2026/238265,Normal/Others,Installing tube-wells and borewells,"Work in Ranchhodgarh village borehole, motor, cable, HDP pipe (coil), starter",2025-09-26,2026-01-30,,,,,390711.0,,,,,Work partially Completed,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,60715,Gujarat,PATAN,Bharatsinhji Shankarji Dabhi,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),WS/MP574/2025-2026/181043,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2025-10-15,,,,,400000.0,,,,Payment Success,INDRAMANA GRAM PANCHAYAT,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,34609,Madhya Pradesh,RATLAM(ST),ANITA NAGARSINGH CHOUHAN,ALIRAJPUR(District Collector Alirajpur_IDA),WS/MP18107/2025-2026/161501,,Improvement of electricity distribution infrastructure,,,,,2026-02-25,,,,,498369.0,,,,Payment Success,RAMESHWAR CONSTRUCTION,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,62977,Jharkhand,KODARMA,Annpurna Devi,KODERMA(DEPUTY COMMISSIONER KODARMA_IDA),WS/MP433/2025-2026/182110,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2025-11-12,,,,,300000.0,,,,Payment Success,JE SATYENDRA KUMAR,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,9035,Jharkhand,SINGHBHUM(ST),JOBA MAJHI,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),WS/MP18262/2026-2027/261750,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-05-19,,,,,261750.0,,,,Payment Success,ARJUN KUMAR BAURI,,,
Works Recommended,Works Recommended (1).xlsx,43648,Gujarat,PATAN,Bharatsinhji Shankarji Dabhi,PATAN(DISTRICT COLLECTOR PATAN_IDA),WS/MP574/2025-2026/212565,Normal/Others,"Purchase of smart boards, visual display units and projectors",Sankhari primary school smart class room,2025-06-25,2025-07-31,,,,498875.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,23865,Gujarat,PATAN,Bharatsinhji Shankarji Dabhi,PATAN(DISTRICT COLLECTOR PATAN_IDA),WS/MP574/2025-2026/181127,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Ghacheli game aangarwadi -161 ni bajuma pavar block work,2025-03-12,2025-07-31,,,,,500000.0,,,,,Work Completed,,,,,
Works Recommended,Works Recommended (1).xlsx,60640,Uttar Pradesh,DEORIA,SHASHANK MANI,DEORIA(DISTRICT MAGISTRATE DEORIA),WS/MP18211/2025-2026/241678,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Vikas Khand-Desahi Deoria, Gram-Nautan hathiagarh me pitch road se Rishikesh Dixit ke ghar tak CC road ka nirmaan karya lagbhag 130 meters",2025-10-13,2026-02-24,,,,1464303.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,14427,Telangana,MAHABUBABAD,BALRAM NAIK PORIKA,WARANGAL(District Collector Warangal_IDA),WS/MP18190/2025-2026/161768,Normal/Others,Installing tube-wells and borewells,Drilling of Borewell and fixing of 1.0 HP Pumpset in front of Pochamma temple in Ramatheertham(V),2024-12-27,2025-07-22,,,,,154501.0,,,,,Physical Inspection,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,83299,Uttar Pradesh,BADAUN,ADITYA YADAV,BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA),WS/MP18203/2024-2025/154470,,Installing community drinking water plants,,,,,2025-07-17,,,,,200600.0,,,,Payment Success,Electromech Enterpries,,,
Works Recommended,Works Recommended (1).xlsx,35579,Odisha,KALAHANDI,MALVIKA DEVI,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),WS/MP18144/2025-2026/199427,Normal/Others,Improvement of electricity distribution infrastructure,Instalation of solar light with fan in Anganwadi Centres,2025-05-27,2025-09-17,,,,64000.0,,,,,,,,,,,
